time,x,y,z
3.85,-625064.333447924,3063581.15217468,1608110.28672009
3.9,-625316.006002874,3063415.45257659,1608153.17072888
3.95,-625567.678148709,3063249.74462818,1608196.05093149
4,-625819.34766686,3063084.02986428,1608238.92697924
4.05,-626071.016517436,3062918.30699453,1608281.799226
4.1,-626322.683385335,3062752.57683741,1608324.66748154
4.15,-626574.348503693,3062586.83913414,1608367.53172301
4.2,-626826.01221276,3062421.09381808,1608410.39201156
4.25,-627077.674412664,3062255.34095519,1608453.24832647
4.3,-627329.335493308,3062089.5802399,1608496.10071797
4.35,-627580.994339866,3061923.81235372,1608538.94900629
4.4,-627832.65226504,3061758.03648544,1608581.79342686
4.45,-628084.308071105,3061592.25346812,1608624.63377492
4.5,-628335.962683731,3061426.46261792,1608667.47019772
4.55,-628587.615489466,3061260.66438496,1608710.30268421
4.6,-628839.266676269,3061094.85857859,1608753.1311853
4.65,-629090.916383934,3060929.04513919,1608795.95570578
4.7,-629342.564653718,3060763.22406158,1608838.77624958
4.75,-629594.211758718,3060597.3952038,1608881.59287696
4.8,-629845.856643292,3060431.55924902,1608924.40541121
4.85,-630097.500585562,3060265.71519326,1608967.21404497
4.9,-630349.142362289,3060099.86400442,1609010.01860332
4.95,-630600.782817755,3059934.00512828,1609052.81925298
5,-630852.421433846,3059768.13889378,1609095.61591861
5.05,-631104.059276002,3059602.26448527,1609138.40873059
5.1,-631355.695129349,3059436.38277852,1609181.19748949
5.15,-631607.329190139,3059270.49369994,1609223.98222426
5.2,-631858.961729606,3059104.59703149,1609266.76296628
5.25,-632110.592983397,3058938.69261945,1609309.53975406
5.3,-632362.222209898,3058772.78089474,1609352.31248389
5.35,-632613.850333861,3058606.86131721,1609395.08132228
5.4,-632865.476574409,3058440.93435016,1609437.84614732
5.45,-633117.101444797,3058274.99970638,1609480.60705325
5.5,-633368.724574481,3058109.05762608,1609523.36395542
5.55,-633620.346350152,3057943.10775111,1609566.11689285
5.6,-633871.966582883,3057777.15029714,1609608.86583075
5.65,-634123.584495077,3057611.18581372,1609651.61065519
5.7,-634375.20187042,3057445.21312413,1609694.35166762
5.75,-634626.817031425,3057279.23323605,1609737.08855848
5.8,-634878.430800057,3057113.24560872,1609779.82150158
5.85,-635130.043206735,3056947.25029551,1609822.55058308
5.9,-635381.653655323,3056781.24770185,1609865.27561522
5.95,-635633.262565373,3056615.23749161,1609907.99663339
6,-635884.870166649,3056449.21952273,1609950.71371056
6.05,-636136.476195171,3056283.19396899,1609993.42680085
6.1,-636388.080537122,3056117.16093198,1610036.13586698
6.15,-636639.683164598,3055951.12041514,1610078.84090063
6.2,-636891.284582859,3055785.07212991,1610121.54200532
6.25,-637142.884306961,3055619.01627891,1610164.23911098
6.3,-637394.482055239,3055452.95306664,1610206.93221134
6.35,-637646.078621596,3055286.88206197,1610249.62140394
6.4,-637897.673015397,3055120.80392316,1610292.30650467
6.45,-638149.266637364,3054954.71766718,1610334.98773743
6.5,-638400.858131593,3054788.62410954,1610377.66487054
6.55,-638652.448417793,3054622.52277719,1610420.3380717
6.6,-638904.036804876,3054456.4141277,1610463.00722411
6.65,-639155.623171105,3054290.29817653,1610505.67229134
6.7,-639407.208874434,3054124.17404404,1610548.33354323
6.75,-639658.792497525,3053958.04260553,1610590.99078995
6.8,-639910.374849167,3053791.90342225,1610633.64409749
6.85,-640161.955183807,3053625.75692686,1610676.29330625
6.9,-640413.534428423,3053459.60257593,1610718.93860169
6.95,-640665.111517419,3053293.44102482,1610761.57980764
7,-640916.687364074,3053127.27158741,1610804.21705451
7.05,-641168.261468777,3052961.09470924,1610846.85026675
7.1,-641419.83444783,3052794.90999162,1610889.47958087
7.15,-641671.404829122,3052628.71837637,1610932.10480338
7.2,-641922.974769228,3052462.5183303,1610974.72620322
7.25,-642174.542354241,3052296.31122482,1611017.34348533
7.3,-642426.10834503,3052130.09659119,1611059.95676505
7.35,-642677.67330687,3051963.87399484,1611102.56611364
7.4,-642929.236285062,3051797.64411232,1611145.17139078
7.45,-643180.797403252,3051631.40677141,1611187.77262823
7.5,-643432.357165652,3051465.16171724,1611230.36989776
7.55,-643683.915542936,3051298.90893099,1611272.96318704
7.6,-643935.472211923,3051132.64866755,1611315.55254967
7.65,-644187.027006737,3050966.3810559,1611358.13787275
7.7,-644438.580074323,3050800.10582354,1611400.71915092
7.75,-644690.1322285,3050633.82259327,1611443.29653683
7.8,-644941.682115975,3050467.53227456,1611485.86980572
7.85,-645193.231288636,3050301.23382504,1611528.43921029
7.9,-645444.77758298,3050134.92860396,1611571.00437262
7.95,-645696.322931258,3049968.61532769,1611613.5656502
8,-645947.86687232,3049802.29438771,1611656.12297767
8.05,-646199.409050025,3049635.96593251,1611698.67633366
8.1,-646450.949599339,3049469.62995708,1611741.22567495
8.15,-646702.487998846,3049303.28676448,1611783.77091944
8.2,-646954.025712813,3049136.93534097,1611826.31230847
8.25,-647205.561076645,3048970.57682637,1611868.84954225
8.3,-647457.095765171,3048804.21016504,1611911.38292603
8.35,-647708.628108422,3048637.8364602,1611953.91217584
8.4,-647960.159035241,3048471.4549975,1611996.43742111
8.45,-648211.687770842,3048305.06628926,1612038.95860147
8.5,-648463.215789543,3048138.66944263,1612081.47600021
