Time,x,y,z
6.85,-2125391.07864781,2784366.32470993,-242348.193053467
6.9,-2125566.05184394,2784132.11980927,-242358.902265495
6.95,-2125741.02102865,2783897.9098303,-242369.610850349
7,-2125915.98685008,2783663.6938091,-242380.318832668
7.05,-2126090.94896316,2783429.47233751,-242391.026230852
7.1,-2126265.90785088,2783195.24482996,-242401.733048987
7.15,-2126440.86247639,2782961.01267075,-242412.439167351
7.2,-2126615.81432427,2782726.77368584,-242423.144710531
7.25,-2126790.76199956,2782492.52983869,-242433.84961728
7.3,-2126965.70610204,2782258.28039406,-242444.55394459
7.35,-2127140.64701905,2782024.0247493,-242455.257711204
7.4,-2127315.58406187,2781789.76387477,-242465.960878054
7.45,-2127490.5173064,2781555.49757397,-242476.663404968
7.5,-2127665.44713368,2781321.22542843,-242487.3653561
7.55,-2127840.37349907,2781086.94743868,-242498.066720557
7.6,-2128015.29624593,2780852.66396774,-242508.767414977
7.65,-2128190.21523962,2780618.37515038,-242519.467507833
7.7,-2128365.13045946,2780384.0807379,-242530.16695818
7.75,-2128540.0426098,2780149.78004671,-242540.865854096
7.8,-2128714.95068235,2779915.47440739,-242551.564140659
7.85,-2128889.85579751,2779681.16231888,-242562.261885091
7.9,-2129064.75636332,2779446.84578044,-242572.958975926
7.95,-2129239.65381476,2779212.5229354,-242583.655468491
8,-2129414.54781016,2778978.19432962,-242594.351368269
8.05,-2129589.43811998,2778743.8602139,-242605.046593745
8.1,-2129764.32480565,2778509.5205339,-242615.741237577
8.15,-2129939.20750832,2778275.1757322,-242626.435255755
8.2,-2130114.08725897,2778040.82438235,-242637.128697125
8.25,-2130288.96282389,2777806.46812332,-242647.821521314
8.3,-2130463.83549805,2777572.10536415,-242658.513803128
8.35,-2130638.70402363,2777337.73773262,-242669.205472296
8.4,-2130813.56907429,2777103.36421773,-242679.896549701
8.45,-2130988.43008041,2776868.98561089,-242690.586946016
8.5,-2131163.28820343,2776634.60054326,-242701.276730259
8.55,-2131338.14241765,2776400.21024001,-242711.965913268
8.6,-2131512.99295414,2776165.81437678,-242722.654505895
8.65,-2131687.83985088,2775931.41290189,-242733.342484727
8.7,-2131862.68327684,2775697.00559407,-242744.029864657
8.75,-2132037.52288065,2775462.59287805,-242754.716647645
8.8,-2132212.35890152,2775228.17455948,-242765.402849529
8.85,-2132387.19170193,2774993.75016752,-242776.088448315
8.9,-2132562.02012938,2774759.3211079,-242786.773330486
8.95,-2132736.84577944,2774524.88527005,-242797.457646277
9,-2132911.66720064,2774290.44466115,-242808.1413459
9.05,-2133086.48539896,2774055.99794244,-242818.824484666
9.1,-2133261.29970065,2773821.54591275,-242829.507021115
9.15,-2133436.11040584,2773587.08822665,-242840.18895433
9.2,-2133610.91752948,2773352.62483736,-242850.870273778
9.25,-2133785.72094527,2773118.15588536,-242861.550999069
9.3,-2133960.52099841,2772883.68105865,-242872.231091449
9.35,-2134135.31722473,2772649.2009525,-242882.910550243
9.4,-2134310.11012376,2772414.71481953,-242893.589418915
9.45,-2134484.89903568,2772180.22340797,-242904.267648459
9.5,-2134659.68472529,2771945.72590763,-242914.945317472
9.55,-2134834.46631319,2771711.22344344,-242925.622376942
9.6,-2135009.24454566,2771476.71494612,-242936.298864209
9.65,-2135184.01892856,2771242.20115779,-242946.97472904
9.7,-2135358.78997735,2771007.68132021,-242957.649945091
9.75,-2135533.55701281,2770773.15637313,-242968.324509324
9.8,-2135708.32093492,2770538.62514196,-242978.998516628
9.85,-2135883.0809098,2770304.08875833,-242989.671913374
9.9,-2136057.83729892,2770069.54670033,-243000.344724332
9.95,-2136232.58979881,2769834.99923974,-243011.016889794
10,-2136407.33902875,2769600.44569087,-243021.688485809
10.05,-2136582.08449636,2769365.88675742,-243032.359487206
10.1,-2136756.82636073,2769131.32211263,-243043.029893332
10.15,-2136931.5645057,2768896.75205103,-243053.699631314
10.2,-2137106.2988579,2768662.17649847,-243064.368705595
10.25,-2137281.02968697,2768427.5951319,-243075.03719649
10.3,-2137455.75722884,2768193.00771517,-243085.705122838
10.35,-2137630.48111645,2767958.41475414,-243096.372463502
10.4,-2137805.2007038,2767723.81705387,-243107.039180227
10.45,-2137979.91714854,2767489.21297183,-243117.705302962
10.5,-2138154.62984981,2767254.6034039,-243128.370816345
10.55,-2138329.33917056,2767019.98795322,-243139.035706394
10.6,-2138504.04451134,2766785.36730827,-243149.699936604
10.65,-2138678.74596597,2766550.74142504,-243160.363564951
10.7,-2138853.44445275,2766316.10903669,-243171.026636598
10.75,-2139028.13906068,2766081.47119421,-243181.689063769
10.8,-2139202.82990992,2765846.82791925,-243192.350897521
10.85,-2139377.51732071,2765612.17878877,-243203.012158739
10.9,-2139552.20060858,2765377.52466457,-243213.672793337
10.95,-2139726.88035218,2765142.8647863,-243224.332845346
11,-2139901.55695243,2764908.19861653,-243234.992208028
11.05,-2140076.22934952,2764673.52756573,-243245.650937695
11.1,-2140250.89840453,2764438.85047006,-243256.309095986
11.15,-2140425.56341231,2764204.16832487,-243266.96664495
11.2,-2140600.22494291,2763969.48036479,-243277.623618034
11.25,-2140774.88319393,2763734.78615286,-243288.279985118
11.3,-2140949.53741813,2763500.08682895,-243298.935727337
11.35,-2141124.18840058,2763265.38139792,-243309.590900011
11.4,-2141298.83498283,2763030.6713336,-243320.245384007
11.45,-2141473.47879379,2762795.95454088,-243330.899289456
11.5,-2141648.11833702,2762561.23295643,-243341.552554828
11.55,-2141822.75446066,2762326.50531341,-243352.205211805
11.6,-2141997.38660556,2762091.77249063,-243362.857260454
11.65,-2142172.01559206,2761857.03344824,-243373.508753863
11.7,-2142346.64041459,2761622.28940866,-243384.159626104
11.75,-2142521.26217561,2761387.53899011,-243394.809934431
11.8,-2142695.87986857,2761152.78351275,-243405.45954613
11.85,-2142870.49377397,2760918.02252526,-243416.108501468
11.9,-2143045.10425122,2760683.25562934,-243426.756880017
11.95,-2143219.71092828,2760448.48335494,-243437.404661341
12,-2143394.31429806,2760213.70499397,-243448.051875997
12.05,-2143568.91348193,2759978.92168025,-243458.698469848
12.1,-2143743.50938099,2759744.13218287,-243469.344450829
12.15,-2143918.10132462,2759509.33749182,-243479.989810831
12.2,-2144092.6898219,2759274.53685911,-243490.634543282
12.25,-2144267.27437766,2759039.73107144,-243501.27862685
12.3,-2144441.85577236,2758804.91901782,-243511.922151851
12.35,-2144616.43298392,2758570.1019184,-243522.565029177
12.4,-2144791.00695657,2758335.27862264,-243533.20732085
12.45,-2144965.57681677,2758100.45033184,-243543.848997361
12.5,-2145140.14312841,2757865.61620766,-243554.490088856
12.55,-2145314.70597615,2757630.77624779,-243565.130594816
12.6,-2145489.26508912,2757395.93084899,-243575.770454087
12.65,-2145663.82052289,2757161.07980272,-243586.409663336
12.7,-2145838.37196315,2756926.22347758,-243597.048231043
12.75,-2146012.9200743,2756691.36114338,-243607.686225679
12.8,-2146187.46447628,2756456.49317146,-243618.323628727
12.85,-2146362.00523906,2756221.61958035,-243628.960446702
12.9,-2146536.54194491,2755986.74093156,-243639.596654392
12.95,-2146711.07543874,2755751.85596193,-243650.232248274
13,-2146885.6048651,2755516.96586682,-243660.867171574
13.05,-2147060.13106059,2755282.06966018,-243671.501478723
13.1,-2147234.65317973,2755047.16830272,-243682.135172396
13.15,-2147409.17182031,2754812.26111576,-243692.768287937
13.2,-2147583.6864549,2754577.34877735,-243703.400798397
13.25,-2147758.19756754,2754342.43053693,-243714.032706587
13.3,-2147932.70533609,2754107.50617528,-243724.664009676
13.35,-2148107.20922671,2753872.57650828,-243735.294700281
13.4,-2148281.70902275,2753637.64173555,-243745.924741506
13.45,-2148456.20526835,2753402.70125812,-243756.554141164
13.5,-2148630.69833164,2753167.75455434,-243767.182978235
13.55,-2148805.18725133,2752932.80273571,-243777.811188393
13.6,-2148979.67289458,2752697.84472391,-243788.43878928
13.65,-2149154.15410499,2752462.88212241,-243799.06575756
13.7,-2149328.63217028,2752227.91313556,-243809.692163021
13.75,-2149503.10650752,2751992.93862648,-243820.317976958
13.8,-2149677.57724907,2751757.95846456,-243830.943141161
13.85,-2149852.04387464,2751522.97320551,-243841.567644559
13.9,-2150026.50680665,2751287.98228938,-243852.191505917
13.95,-2150200.96651114,2751052.98514347,-243862.814805113
14,-2150375.42266762,2750817.98216737,-243873.437520859
14.05,-2150549.87468617,2750582.97421554,-243884.059620885
14.1,-2150724.32288681,2750347.96080132,-243894.681118435
14.15,-2150898.76762623,2750112.94151068,-243905.301978762
14.2,-2151073.20840767,2749877.91700299,-243915.922197188
14.25,-2151247.64596172,2749642.88612767,-243926.541786953
14.3,-2151422.07956617,2749407.84999576,-243937.160772522
14.35,-2151596.5094411,2749172.8083372,-243947.779165658
14.4,-2151770.93543304,2748937.76124929,-243958.396955681
14.45,-2151945.35795218,2748702.7082908,-243969.014169056
14.5,-2152119.77669954,2748467.64985218,-243979.630782791
14.55,-2152294.191833,2748232.58563229,-243990.246688442
14.6,-2152468.60300559,2747997.51614122,-244000.861953107
14.65,-2152643.0106425,2747762.44082586,-244011.47663345
14.7,-2152817.41453212,2747527.35993507,-244022.090720718
14.75,-2152991.8146057,2747292.27363185,-244032.704208606
14.8,-2153166.21122101,2747057.18135683,-244043.317118612
14.85,-2153340.60405859,2746822.08357794,-244053.929430064
14.9,-2153514.99301114,2746586.98048047,-244064.54109078
14.95,-2153689.37830097,2746351.87157695,-244075.152091255
15,-2153863.76005472,2746116.75689277,-244085.762470758
15.05,-2154038.13777456,2745881.63706062,-244096.372239507
15.1,-2154212.5123892,2745646.51077759,-244106.981448031
15.15,-2154386.88242747,2745411.38008136,-244117.590014898
15.2,-2154561.24957516,2745176.24265063,-244128.198026319
15.25,-2154735.61239983,2744941.10044062,-244138.805416642
15.3,-2154909.9714293,2744705.95275031,-244149.41216604
15.35,-2155084.32735991,2744470.7985443,-244160.018244364
15.4,-2155258.67912387,2744235.63937635,-244170.623705272
15.45,-2155433.0274327,2744000.47426901,-244181.228588354
15.5,-2155607.37157026,2743765.30411174,-244191.832849527
15.55,-2155781.71259231,2743530.12761296,-244202.436553754
15.6,-2155956.04945166,2743294.94608151,-244213.03963818
15.65,-2156130.38277001,2743059.75871058,-244223.642118508
15.7,-2156304.71211203,2742824.56612099,-244234.243901474
15.75,-2156479.0380103,2742589.36742277,-244244.845058618
15.8,-2156653.3601443,2742354.16323717,-244255.445617846
15.85,-2156827.67859765,2742118.95337334,-244266.045587443
15.9,-2157001.99291041,2741883.73844852,-244276.644937949
15.95,-2157176.30366399,2741648.51774291,-244287.243707713
16,-2157350.6110205,2741413.29092732,-244297.841899021
16.05,-2157524.9143478,2741178.05902195,-244308.439395145
16.1,-2157699.21449112,2740942.82083332,-244319.036308641
16.15,-2157873.50998232,2740707.57815754,-244329.632544664
16.2,-2158047.80216579,2740472.32930099,-244340.228185748
16.25,-2158222.09061836,2740237.07477931,-244350.823231486
16.3,-2158396.37577526,2740001.81412326,-244361.417709676
16.35,-2158570.65652285,2739766.54875029,-244372.011542334
16.4,-2158744.93369867,2739531.2776195,-244382.604724285
16.45,-2158919.20728756,2739296.00075649,-244393.197294848
16.5,-2159093.47714729,2739060.71821744,-244403.789268903
16.55,-2159267.74313284,2738825.43031808,-244414.380637937
16.6,-2159442.00552812,2738590.13655899,-244424.97142052
16.65,-2159616.26372168,2738354.83777999,-244435.561555319
16.7,-2159790.51836088,2738119.533133,-244446.151075607
16.75,-2159964.76966646,2737884.22237288,-244456.739923349
16.8,-2160139.01691682,2737648.90649264,-244467.328155875
16.85,-2160313.26052485,2737413.58480522,-244477.915799294
16.9,-2160487.50017815,2737178.2578505,-244488.502834562
16.95,-2160661.73636563,2736942.92491186,-244499.089290396
17,-2160835.96852982,2736707.58673145,-244509.675136881
17.05,-2161010.19723242,2736472.24261173,-244520.260390951
17.1,-2161184.42196754,2736236.89321939,-244530.844951125
17.15,-2161358.64262222,2736001.53873462,-244541.428887919
17.2,-2161532.86016213,2735766.17774109,-244552.012268166
17.25,-2161707.07379035,2735530.81138206,-244562.595024413
17.3,-2161881.28342271,2735295.43962271,-244573.177132822
17.35,-2162055.48926008,2735060.06234155,-244583.758641692
17.4,-2162229.69168044,2734824.67905729,-244594.339552795
17.45,-2162403.89002159,2734589.29063546,-244604.919767785
17.5,-2162578.08504423,2734353.8960838,-244615.49941151
17.55,-2162752.27591626,2734118.49641011,-244626.078431967
17.6,-2162926.46341628,2733883.09066081,-244636.656882005
17.65,-2163100.64653396,2733647.68009363,-244647.234696939
17.7,-2163274.82650029,2733412.26318403,-244657.811950613
17.75,-2163449.00235722,2733176.84114516,-244668.388526786
17.8,-2163623.17431692,2732941.41375945,-244678.964453329
17.85,-2163797.34291933,2732705.98022635,-244689.539809787
17.9,-2163971.50748236,2732470.54147755,-244700.114550417
17.95,-2164145.66828704,2732235.09710726,-244710.688695534
18,-2164319.82512825,2731999.64740012,-244721.262234205
18.05,-2164493.97873254,2731764.19134481,-244731.835170414
18.1,-2164668.1281921,2731528.73020487,-244742.407369008
18.15,-2164842.27404407,2731293.26330996,-244752.978973334
18.2,-2165016.41576313,2731057.79123705,-244763.549960618
18.25,-2165190.55414142,2730822.31305856,-244774.120373336
18.3,-2165364.68860998,2730586.82941389,-244784.690181388
18.35,-2165538.81939838,2730351.34011576,-244795.259397432
18.4,-2165712.94605008,2730115.8456789,-244805.827979781
18.45,-2165887.06937468,2729880.34516149,-244816.395899589
18.5,-2166061.18860472,2729644.83941548,-244826.963203691
18.55,-2166235.30417872,2729409.3279818,-244837.529914696
18.6,-2166409.41609956,2729173.81073224,-244848.096036822
18.65,-2166583.52373619,2728938.28861583,-244858.661532262
18.7,-2166757.62823648,2728702.76002746,-244869.22646628
18.75,-2166931.72846859,2728467.22659887,-244879.790679603
18.8,-2167105.82551288,2728231.68676047,-244890.354317065
18.85,-2167279.91814396,2727996.14220023,-244900.917321976
18.9,-2167454.00711833,2727760.59183992,-244911.479734274
18.95,-2167628.09248749,2727525.03569663,-244922.041561456
19,-2167802.17401948,2727289.47402033,-244932.602773657
19.05,-2167976.25157315,2727053.90708022,-244943.163323303
19.1,-2168150.32579005,2726818.33393857,-244953.723270131
19.15,-2168324.39557556,2726582.75610166,-244964.282572153
19.2,-2168498.46206636,2726347.17196363,-244974.84130473
19.25,-2168672.5247201,2726111.58235369,-244985.399433685
19.3,-2168846.58321026,2725875.98760091,-244995.956941083
19.35,-2169020.63831308,2725640.38679863,-245006.513823977
19.4,-2169194.68933826,2725404.7808025,-245017.07004835
19.45,-2169368.73678846,2725169.16893459,-245027.625674561
19.5,-2169542.78010951,2724933.5519125,-245038.180686706
19.55,-2169716.82017042,2724697.92860087,-245048.735125569
19.6,-2169890.85590487,2724462.30041088,-245059.288936151
19.65,-2170064.88822659,2724226.66611195,-245069.84214546
19.7,-2170238.91651483,2723991.02663618,-245080.394670072
19.75,-2170412.94105191,2723755.38146967,-245090.946589439
19.8,-2170586.96180734,2723519.73073417,-245101.497909109
19.85,-2170760.97876418,2723284.07435722,-245112.048631951
19.9,-2170934.99196843,2723048.41237462,-245122.59875553
19.95,-2171109.00120685,2722812.74500157,-245133.14824994
20,-2171283.00685145,2722577.07185109,-245143.697072868
20.05,-2171457.00835759,2722341.39354993,-245154.245277168
20.1,-2171631.00651379,2722105.70905283,-245164.792906181
20.15,-2171805.00033384,2721870.01969207,-245175.339904441
20.2,-2171978.99086143,2721634.32400236,-245185.886326152
20.25,-2172152.97712385,2721398.62339616,-245196.432108669
20.3,-2172326.95970165,2721162.91705262,-245206.977226332
20.35,-2172500.93875564,2720927.20477472,-245217.521750332
20.4,-2172674.91372248,2720691.4872887,-245228.065655115
20.45,-2172848.88485331,2720455.76423102,-245238.60896077
20.5,-2173022.85203938,2720220.03576001,-245249.151658812
20.55,-2173196.81598126,2719984.30092807,-245259.693776718
20.6,-2173370.77552172,2719748.56139111,-245270.235169945
20.65,-2173544.73136573,2719512.81609258,-245280.775968562
20.7,-2173718.68334599,2719277.06525258,-245291.316160407
20.75,-2173892.63200319,2719041.30819407,-245301.855783787
