Time,x,y,z,vx,vy,vz
1.2,-2105596.21958469,2810795.17456482,-241134.176858189,-3507.55544222479,-4671.37430968218,-215.550837494782
1.25,-2105771.59334241,2810561.60599209,-241144.953983543,-3507.47208534985,-4671.46864519744,-215.538569256681
1.3,-2105946.96304764,2810328.03256108,-241155.730503323,-3507.33944934496,-4671.49901557609,-215.523541722805
1.35,-2106122.32934481,2810094.45328789,-241166.50640753,-3507.3305985429,-4671.69534260005,-215.514563494838
1.4,-2106297.69203555,2809860.86847992,-241177.281681133,-3507.19824829739,-4671.72501799979,-215.498026871317
1.45,-2106473.05154858,2809627.2777001,-241188.056340848,-3507.19223063206,-4671.91950322036,-215.489514899437
1.5,-2106648.4077117,2809393.68114645,-241198.830432544,-3507.05954861536,-4671.94976585023,-215.47450161321
1.55,-2106823.75982864,2809160.07960863,-241209.60392078,-3506.79802605288,-4671.81491515604,-215.45191076578
1.6,-2106999.10888261,2808926.47177167,-241220.3768124,-3506.9178427658,-4672.17637847818,-215.450452776128
1.65,-2107174.45386938,2808692.85906283,-241231.149092552,-3506.78530452823,-4672.20680059598,-215.435179723462
1.7,-2107349.79608293,2808459.23981152,-241241.920840889,-3506.76348190562,-4672.38286547329,-215.426585456818
1.75,-2107525.13420081,2808225.61561743,-241252.691977912,-3506.64416338442,-4672.43065369814,-215.410983193515
1.8,-2107700.46930234,2807991.98516891,-241263.462521199,-3506.7006302842,-4672.7100025218,-215.406213766437
1.85,-2107875.8003735,2807758.34975077,-241274.232394567,-3506.6453799693,-4672.84039508348,-215.394492192631
1.9,-2108051.12841736,2807524.70813882,-241285.001678498,-3506.55956392695,-4672.93405082252,-215.381789474673
1.95,-2108226.45250564,2807291.06141094,-241295.770360221,-3506.44080792687,-4672.98261347449,-215.367566549946
2,-2108401.77337076,2807057.40873414,-241306.538484304,-3506.30800038587,-4673.01286278045,-215.352427654876
2.05,-2108577.09054673,2806823.75059147,-241317.305983069,-3506.2871332797,-4673.19147612887,-215.342925969801
2.1,-2108752.40413115,2806590.08686666,-241328.072893341,-3506.15203969936,-4673.22126853525,-215.327577888574
2.15,-2108927.71437588,2806356.41729378,-241338.839237244,-3506.20890000891,-4673.49835189363,-215.323373051652
2.2,-2109103.02105088,2806122.7422109,-241349.605000667,-3506.01285871651,-4673.44627327975,-215.304467819167
2.25,-2109278.32457085,2805889.06105005,-241360.370196937,-3506.06954026592,-4673.72450960796,-215.297380700944
2.3,-2109453.62399702,2805655.37488179,-241371.134671454,-3505.99754381942,-4673.83644292935,-215.285729371399
2.35,-2109628.92056874,2805421.68228833,-241381.898580209,-3505.92785082361,-4673.94895241363,-215.27423608767
2.4,-2109804.21280083,2805187.98517184,-241392.661866947,-3505.85823771184,-4674.06158251057,-215.262742186796
2.45,-2109979.50212797,2804954.28165399,-241403.424611214,-3505.65990194484,-4674.00900860378,-215.243704743536
2.5,-2110154.78748873,2804720.57293295,-241414.186709671,-3505.58971880141,-4674.12361676411,-215.231276932464
2.55,-2110330.06953774,2804486.85832463,-241424.948238821,-3505.50590877785,-4674.21785713076,-215.219032349662
2.6,-2110505.34827129,2804253.13787243,-241435.709204276,-3505.51338092379,-4674.43096324306,-215.212030857656
2.65,-2110680.62362032,2804019.41160812,-241446.469591319,-3505.39226827322,-4674.47901984057,-215.197479914981
2.7,-2110855.89490415,2803785.68040149,-241457.229359934,-3505.32212892642,-4674.59276875376,-215.185482082148
2.75,-2111031.16317716,2803551.94286107,-241467.988480289,-3505.36465768113,-4674.852039634,-215.179277453009
2.8,-2111206.42764838,2803318.20011162,-241478.746983232,-3505.29512107687,-4674.96397307832,-215.166553049655
2.85,-2111381.68851657,2803084.45178753,-241489.50489675,-3505.09670220255,-4674.91135929779,-215.147451470059
2.9,-2111556.94587534,2802850.69784376,-241500.262234042,-3505.08995614098,-4675.10609440819,-215.139734428718
2.95,-2111732.19989313,2802616.93801571,-241511.018977426,-3504.95658266881,-4675.13853537186,-215.123535049061
3,-2111907.45024937,2802383.17269201,-241521.77511499,-3504.88445231233,-4675.25053533593,-215.111867179483
3.05,-2112082.69713843,2802149.40160214,-241532.530678036,-3504.94076346356,-4675.52756421415,-215.107794395013
3.1,-2112257.94052648,2801915.62489033,-241543.285666891,-3504.80769156804,-4675.55767430481,-215.092525673537
3.15,-2112433.17999888,2801681.8431168,-241554.040043526,-3504.67477930103,-4675.58874867887,-215.075451996792
3.2,-2112608.41652656,2801448.05488354,-241564.793735083,-3504.72855873866,-4675.86544120058,-215.070064996145
3.25,-2112783.64901313,2801214.26164799,-241575.546828132,-3504.65873585722,-4675.97806957225,-215.058510612782
3.3,-2112958.87866652,2800980.46192686,-241586.299376742,-3504.58874627392,-4676.09057614749,-215.047047205993
3.35,-2113134.10423688,2800746.65735196,-241597.051314735,-3504.4683777985,-4676.13876359013,-215.032469817896
3.4,-2113309.32615807,2800512.84721442,-241607.802666831,-3504.32012301319,-4676.15192753607,-215.015797066595
3.45,-2113484.54472198,2800279.03113727,-241618.55340226,-3504.26394426842,-4676.28342648649,-215.004761771282
3.5,-2113659.75985728,2800045.2093493,-241629.30356838,-3504.30606122466,-4676.54219566571,-214.999885027052
3.55,-2113834.97146154,2799811.38192001,-241640.0531595,-3504.17067581448,-4676.57187721551,-214.984405378919
3.6,-2114010.17929684,2799577.54915391,-241650.802144294,-3504.0375368093,-4676.6021260446,-214.969273956082
3.65,-2114185.38393341,2799343.71031365,-241661.550473899,-3503.96751390921,-4676.71577857042,-214.95458184341
3.7,-2114360.58451444,2799109.86654569,-241672.298150265,-3504.02345263673,-4676.99264824712,-214.950506811567
3.75,-2114535.78234085,2798876.01610528,-241683.045296181,-3503.95109961524,-4677.10465362968,-214.938840890828
3.8,-2114710.9759572,2798642.16091064,-241693.791824231,-3503.8810674504,-4677.21725509428,-214.927268281035
3.85,-2114886.16665816,2798408.29930904,-241704.5378139,-3503.8108673571,-4677.32963213688,-214.915753765645
3.9,-2115061.35303044,2798174.4330529,-241715.283132675,-3503.74034007326,-4677.44427919428,-214.903260825166
3.95,-2115236.53666381,2797940.56004302,-241726.027910147,-3503.66787431469,-4677.55621740334,-214.891629488205
4,-2115411.71597058,2797706.68247126,-241736.772058314,-3503.53469440195,-4677.5865729416,-214.876515209358
4.05,-2115586.8923935,2797472.79846995,-241747.515645074,-3503.38783000887,-4677.59748992657,-214.8583568213
4.1,-2115762.06499375,2797238.9092504,-241758.258568037,-3503.34291867763,-4677.74794469394,-214.847184387513
4.15,-2115937.23387293,2797005.01449,-241769.000844264,-3503.39881561943,-4678.02500929306,-214.843075073427
4.2,-2116112.39933001,2796771.11399442,-241779.742549704,-3503.2024027496,-4677.97296615466,-214.824348182967
4.25,-2116287.56124888,2796537.20788958,-241790.483683138,-3503.1042559,-4678.04901360993,-214.811140961519
4.3,-2116462.71994675,2796303.29571631,-241801.224254265,-3503.17171764973,-4678.3435946402,-214.807559471032
4.35,-2116637.87457685,2796069.37851493,-241811.964186049,-3503.10096346071,-4678.45799710725,-214.794974208829
4.4,-2116813.02612375,2795835.45507597,-241822.70354672,-3503.03064259373,-4678.57059629899,-214.783496187463
4.45,-2116988.17370638,2795601.52659485,-241833.442303763,-3502.96033271201,-4678.68297704359,-214.771984009255
4.5,-2117163.31801295,2795367.5920927,-241844.180474811,-3502.76215774617,-4678.62961026348,-214.7509239351
4.55,-2117338.45860483,2795133.65225753,-241854.917977941,-3502.75481242234,-4678.82421364784,-214.74303625449
4.6,-2117513.59560994,2794899.70679372,-241865.654858664,-3502.62110726571,-4678.85659124823,-214.726712169506
4.65,-2117688.72911785,2794665.75559934,-241876.3911513,-3502.61147327442,-4679.05082933928,-214.718770736032
4.7,-2117863.85912169,2794431.79868434,-241887.126869003,-3502.47802082279,-4679.08101282773,-214.703555482697
4.75,-2118038.9858898,2794197.83578471,-241897.862027883,-3502.53369646348,-4679.35800604614,-214.699343715785
4.8,-2118214.10862443,2793963.86791834,-241908.596575517,-3502.46281036394,-4679.4724579567,-214.68673056965
4.85,-2118389.22820359,2793729.89371819,-241919.330520505,-3502.3411575183,-4679.52054373177,-214.672243547389
4.9,-2118564.34380466,2793495.91449275,-241930.063849945,-3502.19369152444,-4679.53249005792,-214.656269871949
4.95,-2118739.45606197,2793261.92943878,-241940.796582325,-3502.13742105561,-4679.66279350357,-214.644714002332
5,-2118914.56456842,2793027.93906828,-241951.528680254,-3502.06482699975,-4679.77460144529,-214.632472736618
5.05,-2119089.6700829,2792793.94222431,-241962.260183618,-3501.98008641181,-4679.87040553905,-214.618230486298
5.1,-2119264.77171347,2792559.94015599,-241972.991065355,-3502.03539494106,-4680.14719004822,-214.614081524811
5.15,-2119439.86964547,2792325.9327001,-241983.721360027,-3501.83904429105,-4680.09533685422,-214.595204458402
5.2,-2119614.96403044,2792091.9195815,-241994.451075014,-3501.82909424764,-4680.289342319,-214.587178691621
5.25,-2119790.05504122,2791857.90057509,-242005.180222254,-3501.82149911318,-4680.48403096126,-214.579312822906
5.3,-2119965.14214189,2791623.87633856,-242015.908728716,-3501.75054847258,-4680.59855676592,-214.566697696662
5.35,-2120140.22605409,2791389.8460323,-242026.636654682,-3501.55438337948,-4680.54611810445,-214.546610986856
5.4,-2120315.3061573,2791155.81039346,-242037.363937265,-3501.54457713601,-4680.73980400125,-214.537796058747
5.45,-2120490.38287523,2790921.76895294,-242048.09061357,-3501.41097318394,-4680.7699779534,-214.52254752565
5.5,-2120665.45591224,2790687.72206576,-242058.816683423,-3501.4029946662,-4680.96675546662,-214.51353427847
5.55,-2120840.52550344,2790453.66927137,-242069.542142656,-3501.39286992189,-4681.16079401985,-214.505544633681
5.6,-2121015.59155004,2790219.61081559,-242080.267022383,-3501.21027321086,-4681.12708331092,-214.487547322838
5.65,-2121190.65349932,2789985.54748127,-242090.99128986,-3501.13971111562,-4681.23963244015,-214.475982313643
5.7,-2121365.71262087,2789751.47758617,-242101.715022278,-3501.19482713263,-4681.51630693174,-214.471619615471
5.75,-2121540.76768551,2789517.40261732,-242112.438127605,-3501.15635724989,-4681.67587359885,-214.460861119822
5.8,-2121715.81932717,2789283.32178647,-242123.160614183,-3500.9114329575,-4681.55914300253,-214.437072957364
5.85,-2121890.86758022,2789049.23518552,-242133.882448573,-3500.90354453648,-4681.7537688037,-214.429246200463
5.9,-2122065.9120216,2788815.14333239,-242144.60367931,-3500.76767147465,-4681.78350880199,-214.413827673537
5.95,-2122240.95288517,2788581.04579477,-242155.324328744,-3500.75975973217,-4681.97805222785,-214.405924951851
6,-2122415.99037132,2788346.9423601,-242166.044383454,-3500.7515398441,-4682.17478607381,-214.396889181183
6.05,-2122591.02427529,2788112.83328897,-242176.763832886,-3500.61782598238,-4682.20513742171,-214.381788272594
6.1,-2122766.05452984,2787878.71869468,-242187.482697272,-3500.35608673689,-4682.07039217657,-214.359069305841
6.15,-2122941.08109889,2787644.59859769,-242198.200972191,-3500.53675226689,-4682.51147791618,-214.362064060143
6.2,-2123116.10438441,2787410.4725485,-242208.918683257,-3500.46589974728,-4682.6239465871,-214.350519824797
6.25,-2123291.12396905,2787176.34094264,-242219.635752321,-3500.32959454014,-4682.65573418852,-214.333936619137
6.3,-2123466.13972426,2786942.20403749,-242230.352141835,-3500.19626542984,-4682.6851107448,-214.316845554634
6.35,-2123641.15221401,2786708.06115983,-242241.067953001,-3500.20213716342,-4682.89781031575,-214.309775687694
6.4,-2123816.16070235,2786473.91326151,-242251.783158177,-3500.18016608832,-4683.0741582095,-214.300956848919
6.45,-2123991.16618721,2786239.75895012,-242262.497804259,-3500.24620127251,-4683.3706215956,-214.296271758776
6.5,-2124166.16768322,2786005.59943425,-242273.211802458,-3500.03567853375,-4683.30053171778,-214.276509791731
6.55,-2124341.16585342,2785771.43399004,-242283.925237146,-3499.8390024592,-4683.24865188808,-214.257795999952
6.6,-2124516.16024127,2785537.26324395,-242294.63807909,-3499.81680644935,-4683.42483282686,-214.249118430163
6.65,-2124691.15072324,2785303.0872598,-242305.350309299,-3499.69472147078,-4683.47282474568,-214.234442754749
6.7,-2124866.13829301,2785068.90477976,-242316.061960969,-3499.74951458881,-4683.75062294728,-214.226917718716
6.75,-2125041.1219438,2784834.71710756,-242326.772908852,-3499.55287179437,-4683.6987598567,-214.208092472517
6.8,-2125216.10227239,2784600.5235193,-242337.483282866,-3499.54238547058,-4683.89275438968,-214.199999896576
6.85,-2125391.07864781,2784366.32470993,-242348.193053467,-3499.53403994678,-4684.08725958741,-214.192121719833
6.9,-2125566.05184394,2784132.11980927,-242358.902265495,-3499.46304090507,-4684.19961478817,-214.180426035347
6.95,-2125741.02102865,2783897.9098303,-242369.610850349,-3499.39158048385,-4684.3140716809,-214.167780736909
7,-2125915.98685008,2783663.6938091,-242380.318832668,-3499.25545765277,-4684.34388857666,-214.152459713512
7.05,-2126090.94896316,2783429.47233751,-242391.026230852,-3499.18431621179,-4684.4562760365,-214.140959180613
7.1,-2126265.90785088,2783195.24482996,-242401.733048987,-3499.06436783389,-4684.50475750981,-214.12647241745
7.15,-2126440.86247639,2782961.01267075,-242412.439167351,-3498.99154204277,-4684.615650996,-214.112449086742
7.2,-2126615.81432427,2782726.77368584,-242423.144710531,-3498.91993124324,-4684.73005292623,-214.099779681662
7.25,-2126790.76199956,2782492.52983869,-242433.84961728,-3498.88364308463,-4684.88804233961,-214.090307122402
7.3,-2126965.70610204,2782258.28039406,-242444.55394459,-3498.76363459508,-4684.93659520796,-214.075934776121
7.35,-2127140.64701905,2782024.0247493,-242455.257711204,-3498.81569037758,-4685.2126591298,-214.07137742465
7.4,-2127315.58406187,2781789.76387477,-242465.960878054,-3498.74451364006,-4685.32505347585,-214.059824652489
7.45,-2127490.5173064,2781555.49757397,-242476.663404968,-3498.67284934547,-4685.43948138264,-214.047126154596
7.5,-2127665.44713368,2781321.22542843,-242487.3653561,-3498.59939149923,-4685.55141276712,-214.035377013333
7.55,-2127840.37349907,2781086.94743868,-242498.066720557,-3498.40284636122,-4685.49926109908,-214.015805032545
7.6,-2128015.29624593,2780852.66396774,-242508.767414977,-3498.45730723195,-4685.77511256641,-214.010033524146
7.65,-2128190.21523962,2780618.37515038,-242519.467507833,-3498.32336260026,-4685.80541507992,-213.994756865862
7.7,-2128365.13045946,2780384.0807379,-242530.16695818,-3498.18658914896,-4685.83710336039,-213.978315226332
7.75,-2128540.0426098,2780149.78004671,-242540.865854096,-3498.24071315812,-4686.11382385759,-213.974109843162
7.8,-2128714.95068235,2779915.47440739,-242551.564140659,-3498.1694534688,-4686.22619191121,-213.962508371328
7.85,-2128889.85579751,2779681.16231888,-242562.261885091,-3498.10968825279,-4686.35618385006,-213.951531469045
7.9,-2129064.75636332,2779446.84578044,-242572.958975926,-3498.02405852954,-4686.45235614624,-213.937995541252
7.95,-2129239.65381476,2779212.5229354,-242583.655468491,-3497.96658124227,-4686.58291958294,-213.927172880375
8,-2129414.54781016,2778978.19432962,-242594.351368269,-3497.75630138758,-4686.51198091519,-213.905511972891
8.05,-2129589.43811998,2778743.8602139,-242605.046593745,-3497.80797283407,-4686.78785411348,-213.900922950048
8.1,-2129764.32480565,2778509.5205339,-242615.741237577,-3497.65994580064,-4686.79982869506,-213.884858400049
8.15,-2129939.20750832,2778275.1757322,-242626.435255755,-3497.53936778479,-4686.85048007848,-213.869387384724
8.2,-2130114.08725897,2778040.82438235,-242637.128697125,-3497.59104919413,-4687.12641037315,-213.864762921556
8.25,-2130288.96282389,2777806.46812332,-242647.821521314,-3497.51957786783,-4687.23882499094,-213.853298333455
8.3,-2130463.83549805,2777572.10536415,-242658.513803128,-3497.44813502278,-4687.35121547454,-213.841606145197
8.35,-2130638.70402363,2777337.73773262,-242669.205472296,-3497.24983826415,-4687.29896929728,-213.822634861637
8.4,-2130813.56907429,2777103.36421773,-242679.896549701,-3497.30256969938,-4687.57747510991,-213.817001858978
